,Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,totalincome
0,LP001002,Male,No,0,Graduate,No,5849,0,120,360,1,1,Y,5849
1,LP001003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,-1,N,6091
2,LP001005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,1,Y,3000
3,LP001006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,1,Y,4941
4,LP001008,Male,No,0,Graduate,No,6000,0,141,360,1,1,Y,6000
5,LP001011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,1,Y,9613
6,LP001013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,1,Y,3849
7,LP001014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,0,N,5540
8,LP001018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,1,Y,5532
9,LP001020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,0,N,23809
10,LP001024,Male,Yes,2,Graduate,No,3200,700,70,360,1,1,Y,3900
11,LP001027,Male,Yes,2,Graduate,No,2500,1840,109,360,1,1,Y,4340
12,LP001028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,1,Y,11179
13,LP001029,Male,No,0,Graduate,No,1853,2840,114,360,1,-1,N,4693
14,LP001030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,1,Y,2385
15,LP001032,Male,No,0,Graduate,No,4950,0,125,360,1,1,Y,4950
16,LP001034,Male,No,1,Not Graduate,No,3596,0,100,240,1,1,Y,3596
17,LP001036,Female,No,0,Graduate,No,3510,0,76,360,0,1,N,3510
18,LP001038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,-1,N,4887
19,LP001041,Male,Yes,0,Graduate,No,2600,3500,115,360,1,1,Y,6100
20,LP001043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,1,N,7660
